prefix,num_cells,avg_width
A2O,2,19.00
AND,10,21.20
AO2,8,20.25
AO3,11,30.91
AOI,21,19.43
ASY,1,68.00
BUF,12,25.33
DFF,8,47.00
DHL,3,34.00
DLL,3,34.00
FAx,1,46.00
HAx,1,20.00
HB1,1,10.00
HB2,1,12.00
HB3,1,14.00
HB4,1,16.00
INV,11,12.00
MAJ,3,23.33
NAN,12,15.67
NOR,11,16.55
O2A,2,20.00
OA2,5,24.80
OA3,8,33.25
OAI,19,19.37
OR2,3,20.67
OR3,3,16.67
OR4,2,21.00
OR5,2,19.00
SDF,8,62.00
XNO,3,22.67
XOR,3,24.67
