file	min_width	cols_at_min	solutions
NAND3x2_ASAP7_75t_R_w21.txt	16	6	5
NAND3xp33_ASAP7_75t_R_w5.txt	8	3	2
NAND4xp25_ASAP7_75t_R_w6.txt	10	4	2
NAND4xp75_ASAP7_75t_R_w14.txt	22	8	2
NAND5xp2_ASAP7_75t_R_w7.txt	12	5	2
NOR2x1_ASAP7_75t_R_w6.txt	6	2	13
NOR2x1p5_ASAP7_75t_R_w12.txt	14	6	28
NOR2x2_ASAP7_75t_R_w10.txt	10	4	88
NOR2xp33_ASAP7_75t_R_w4.txt	6	2	1
NOR2xp67_ASAP7_75t_R_w6.txt	6	2	22
NOR3x1_ASAP7_75t_R_w11.txt	8	3	159
NOR3x2_ASAP7_75t_R_w21.txt	16	6	1000
NOR3xp33_ASAP7_75t_R_w5.txt	8	3	1
NOR4xp25_ASAP7_75t_R_w6.txt	10	4	2
NOR4xp75_ASAP7_75t_R_w14.txt	20	8	16
NOR5xp2_ASAP7_75t_R_w7.txt	12	5	1
O2A1O1Ixp33_ASAP7_75t_R_w6.txt	10	4	1
O2A1O1Ixp5_ASAP7_75t_R_w8.txt	12	4	3
OA211x2_ASAP7_75t_R_w8.txt	14	6	1
OA21x2_ASAP7_75t_R_w7.txt	12	5	1
OA221x2_ASAP7_75t_R_w15.txt	22	7	16
OA222x2_ASAP7_75t_R_w11.txt	20	8	1
OA22x2_ASAP7_75t_R_w9.txt	16	6	6
OA31x2_ASAP7_75t_R_w12.txt	18	6	27
OA331x1_ASAP7_75t_R_w10.txt	18	8	1
OA331x2_ASAP7_75t_R_w11.txt	20	9	1
OA332x1_ASAP7_75t_R_w11.txt	20	9	1
OA332x2_ASAP7_75t_R_w12.txt	22	10	1
OA333x1_ASAP7_75t_R_w12.txt	22	10	1
OA333x2_ASAP7_75t_R_w13.txt	24	11	1
OA33x2_ASAP7_75t_R_w10.txt	18	8	1
OAI211xp5_ASAP7_75t_R_w6.txt	10	4	2
OAI21x1_ASAP7_75t_R_w9.txt	16	6	5
OAI21xp33_ASAP7_75t_R_w5.txt	8	3	3
OAI21xp5_ASAP7_75t_R_w5.txt	8	3	3
OAI221xp5_ASAP7_75t_R_w8.txt	14	5	16
OAI222xp33_ASAP7_75t_R_w9.txt	16	6	2
OAI22x1_ASAP7_75t_R_w11.txt	20	8	4
OAI22xp33_ASAP7_75t_R_w6.txt	10	4	2
OAI22xp5_ASAP7_75t_R_w6.txt	10	4	2
OAI311xp33_ASAP7_75t_R_w7.txt	12	5	2
OAI31xp33_ASAP7_75t_R_w6.txt	10	4	2
OAI31xp67_ASAP7_75t_R_w10.txt	18	7	3
OAI321xp33_ASAP7_75t_R_w8.txt	14	6	1
OAI322xp33_ASAP7_75t_R_w9.txt	16	7	1
OAI32xp33_ASAP7_75t_R_w7.txt	12	5	1
OAI331xp33_ASAP7_75t_R_w9.txt	16	7	1
OAI332xp33_ASAP7_75t_R_w10.txt	18	8	1
OAI333xp33_ASAP7_75t_R_w11.txt	20	9	1
OAI33xp33_ASAP7_75t_R_w8.txt	14	6	2
OR2x2_ASAP7_75t_R_w6.txt	10	4	1
OR2x4_ASAP7_75t_R_w8.txt	14	6	1
OR2x6_ASAP7_75t_R_w13.txt	24	10	30
OR3x1_ASAP7_75t_R_w6.txt	10	4	1
OR3x2_ASAP7_75t_R_w7.txt	12	5	1
OR3x4_ASAP7_75t_R_w9.txt	16	7	1
OR4x1_ASAP7_75t_R_w7.txt	12	5	1
OR4x2_ASAP7_75t_R_w8.txt	14	6	1
OR5x1_ASAP7_75t_R_w8.txt	14	6	1
OR5x2_ASAP7_75t_R_w9.txt	16	7	1
SDFHx1_ASAP7_75t_R_w21.txt	40	16	1000
SDFHx2_ASAP7_75t_R_w21.txt	40	17	180
SDFHx3_ASAP7_75t_R_w23.txt	44	18	1000
SDFHx4_ASAP7_75t_R_w23.txt	44	19	539
SDFLx1_ASAP7_75t_R_w21.txt	40	16	1000
SDFLx2_ASAP7_75t_R_w21.txt	40	17	318
SDFLx3_ASAP7_75t_R_w23.txt	44	18	1000
SDFLx4_ASAP7_75t_R_w23.txt	44	19	539
XNOR2x1_ASAP7_75t_R_w11.txt	20	8	3
XNOR2x2_ASAP7_75t_R_w10.txt	18	7	6
XNOR2xp5_ASAP7_75t_R_w8.txt	14	5	42
XOR2x1_ASAP7_75t_R_w11.txt	20	8	9
XOR2x2_ASAP7_75t_R_w10.txt	18	7	2
XOR2xp5_ASAP7_75t_R_w8.txt	14	5	14
